Name,Location,Specialization,Rating,Availability,9AM,10AM,11AM,12PM,1PM,2PM,3PM,4PM,5PM
Dr. Aiden Scott,Phoenix,Pulmonologist,1,1,1,1,0,0,1,1,0,1,1
Dr. Evelyn Lewis,San Antonio,Rheumatologist,5,1,1,1,1,1,1,0,1,1,1
Dr. Michael Perez,San Jose,Urologist,1,1,0,1,0,1,1,1,0,1,0
Dr. Evelyn Nelson,Philadelphia,Proctologist,2,1,1,0,1,1,0,0,1,1,0
Dr. Lucas Stewart,New York,Rheumatologist,1,0,0,0,0,0,1,1,1,0,0
Dr. Evelyn Rodriguez,Philadelphia,Cardiologist,3,1,1,1,1,1,0,1,1,0,1
Dr. Olivia Taylor,San Antonio,Gastroenterologist,3,0,1,1,1,1,1,1,0,0,0
Dr. Michael Lee,Los Angeles,Infectious Disease Specialist,2,1,1,1,1,1,1,1,0,0,1
Dr. Sophia Perez,San Jose,Infectious Disease Specialist,1,1,1,0,1,0,1,0,1,1,0
Dr. Mason Green,San Antonio,Vascular Surgeon,5,0,1,1,0,0,1,0,0,1,0
Dr. Abigail White,New York,Neurologist,4,0,0,0,1,0,1,1,0,1,0
Dr. Madison Perez,San Antonio,Proctologist,5,0,1,0,1,0,1,1,0,1,0
Dr. Harper King,Chicago,Urologist,4,1,0,1,1,1,0,0,0,0,0
Dr. Alexander Thompson,Chicago,Pulmonologist,2,0,0,1,1,1,1,0,1,0,0
Dr. Alexander Edwards,San Jose,Gastroenterologist,5,1,0,0,0,1,1,1,0,1,1
Dr. Jacob Phillips,Chicago,Dermatologist,3,0,1,1,1,0,1,0,1,0,1
Dr. William Adams,Chicago,Pulmonologist,1,0,0,0,0,0,1,0,1,1,1
Dr. Charlotte White,San Diego,Proctologist,1,0,1,0,1,1,1,1,0,0,0
Dr. Mia Phillips,Dallas,Infectious Disease Specialist,4,0,1,1,1,0,0,1,0,0,0
Dr. Olivia Bailey,Chicago,Endocrinologist,2,1,1,1,0,0,0,1,1,1,0
Dr. Harper Moore,Dallas,Allergist/Immunologist,1,0,1,0,0,0,0,0,1,0,0
Dr. Olivia Murphy,New York,Rheumatologist,2,0,0,1,0,0,0,0,1,1,0
Dr. Emily Anderson,San Antonio,General Practitioner (GP),5,0,0,1,1,0,0,0,1,0,1
Dr. Ava Carter,New York,Pharmacologist,1,1,1,1,0,1,0,0,1,0,0
Dr. Ethan Smith,New York,Dermatologist,2,1,0,0,0,0,0,0,1,0,1
Dr. Amelia Morris,Philadelphia,Allergist/Immunologist,1,1,0,1,0,1,0,0,0,1,1
Dr. Sophia Davis,Philadelphia,Gastroenterologist,2,0,1,0,1,1,0,0,0,0,0
Dr. Mia Stewart,Houston,Allergist/Immunologist,1,0,0,1,1,0,1,1,0,0,0
Dr. James King,Philadelphia,General Practitioner (GP),1,1,0,1,1,1,1,1,1,0,1
Dr. Harper Adams,Philadelphia,Gastroenterologist,2,1,0,1,0,0,0,1,0,0,0
Dr. Mason Harris,Phoenix,Endocrinologist,4,1,0,0,0,1,0,1,1,1,0
Dr. Ava Perez,Houston,Proctologist,3,1,1,0,0,1,1,1,1,0,0
Dr. Chloe Rodriguez,Houston,Rheumatologist,2,1,0,1,1,1,0,0,0,0,0
Dr. Michael Green,Dallas,Cardiologist,1,1,0,0,1,0,0,1,0,1,1
Dr. Noah Nelson,Houston,General Practitioner (GP),5,1,0,1,1,0,1,1,0,1,0
Dr. Benjamin Moore,Dallas,"Ear, Nose, and Throat (ENT) Specialist",3,0,1,1,1,1,0,0,1,0,0
Dr. Amelia Bailey,Houston,Orthopedic Surgeon,2,0,0,1,0,0,1,0,0,1,0
Dr. Abigail Phillips,Dallas,Neurologist,1,1,1,1,1,0,0,1,0,0,0
Dr. Sophia Rivera,Houston,Gastroenterologist,2,1,1,1,0,1,1,0,1,0,1
Dr. Aiden Taylor,Los Angeles,Infectious Disease Specialist,2,0,1,0,0,1,1,0,0,1,0
Dr. Ava Rodriguez,San Diego,Gastroenterologist,3,0,1,1,1,1,1,0,1,0,1
Dr. William Edwards,Phoenix,Pharmacologist,4,0,0,0,1,1,1,1,1,1,0
Dr. Evelyn Smith,Philadelphia,Proctologist,1,0,1,0,1,0,0,1,0,1,0
Dr. Harper Martinez,Los Angeles,Orthopedic Surgeon,2,0,0,0,1,1,1,0,1,0,0
Dr. Mason Thompson,Dallas,Allergist/Immunologist,4,0,1,0,0,1,0,0,0,1,1
Dr. Daniel Moore,Phoenix,Vascular Surgeon,2,1,1,0,1,0,1,0,0,1,1
Dr. James Hall,Philadelphia,Urologist,3,1,0,0,1,0,1,0,0,0,1
Dr. Abigail Hall,San Jose,"Ear, Nose, and Throat (ENT) Specialist",4,0,0,0,1,1,1,1,1,1,0
Dr. Daniel Hernandez,Phoenix,General Practitioner (GP),2,0,0,1,1,1,0,0,0,0,1
Dr. Charlotte White,San Jose,Endocrinologist,1,0,0,1,0,0,1,1,1,1,1
Dr. Aiden Williams,Phoenix,Dermatologist,1,0,1,1,1,1,0,0,1,0,1
Dr. Michael Phillips,Phoenix,Proctologist,5,0,0,1,0,1,0,1,1,0,0
Dr. Isabella Carter,Los Angeles,General Practitioner (GP),2,0,0,1,0,0,0,0,1,1,0
Dr. Harper Carter,Houston,Infectious Disease Specialist,1,1,0,0,1,1,1,0,1,1,0
Dr. Aiden Adams,New York,Proctologist,1,0,0,0,1,0,0,1,0,1,1
Dr. Abigail Moore,New York,Infectious Disease Specialist,5,0,0,1,0,1,1,1,1,1,0
Dr. William Anderson,Los Angeles,Pulmonologist,3,0,0,0,1,0,1,1,0,0,1
Dr. Amelia Wright,Philadelphia,Infectious Disease Specialist,5,0,0,1,1,0,1,1,0,1,0
Dr. Olivia Nelson,Dallas,Gastroenterologist,5,1,1,0,0,1,1,0,1,1,1
Dr. Mia Perez,Philadelphia,Gastroenterologist,5,0,1,0,1,1,0,0,1,1,1
Dr. Olivia Harris,San Antonio,Rheumatologist,1,0,0,0,0,1,1,0,0,1,0
Dr. Daniel Nelson,San Jose,Infectious Disease Specialist,4,0,1,0,1,0,1,1,0,1,1
Dr. Olivia Brown,San Antonio,Dermatologist,2,1,1,0,0,0,0,0,0,1,0
Dr. Alexander Thompson,Chicago,Orthopedic Surgeon,4,1,1,0,0,1,1,1,1,1,1
Dr. Emily Roberts,Chicago,Pulmonologist,5,1,0,0,1,0,0,0,0,1,1
Dr. Daniel Rodriguez,Chicago,Proctologist,3,1,1,1,1,1,1,0,0,0,1
Dr. Ava Gonzalez,Dallas,Pharmacologist,2,0,0,1,1,1,0,0,1,1,0
Dr. Jacob Williams,Houston,Allergist/Immunologist,4,0,0,1,0,0,0,1,0,0,1
Dr. Olivia King,San Diego,General Practitioner (GP),1,0,1,1,0,1,1,1,0,1,1
Dr. Lucas Perez,Los Angeles,"Ear, Nose, and Throat (ENT) Specialist",4,0,1,1,0,1,1,0,1,1,0
Dr. William Nelson,Los Angeles,Rheumatologist,1,1,0,1,0,0,1,0,0,1,0
Dr. Sophia Evans,Dallas,Gastroenterologist,5,0,1,0,0,0,1,1,1,0,1
Dr. Jacob Hill,Philadelphia,Neurologist,2,1,0,0,1,1,0,1,0,0,1
Dr. Alexander Nelson,Los Angeles,General Practitioner (GP),1,0,0,1,0,0,0,1,0,0,0
Dr. Olivia Edwards,San Jose,Cardiologist,5,1,1,0,0,0,0,1,0,1,0
Dr. Ethan Wilson,Chicago,Neurologist,2,0,1,1,1,0,1,1,0,0,0
Dr. Benjamin White,Phoenix,Rheumatologist,2,0,0,0,0,1,1,1,1,0,0
Dr. Charlotte Gonzales,Dallas,Urologist,4,1,0,0,0,1,0,0,0,1,1
Dr. Daniel Smith,Houston,"Ear, Nose, and Throat (ENT) Specialist",3,1,0,1,0,0,0,1,1,1,1
Dr. Sophia Lee,Phoenix,Orthopedic Surgeon,1,1,0,1,1,1,0,0,0,1,1
Dr. Elizabeth Brown,San Antonio,Cardiologist,2,0,0,0,1,0,0,1,1,0,1
Dr. Michael Bailey,San Jose,Gastroenterologist,4,1,1,0,1,1,0,1,0,1,1
Dr. Sophia Johnson,San Jose,Gastroenterologist,4,1,0,0,0,1,1,0,1,0,1
Dr. Harper Scott,Dallas,"Ear, Nose, and Throat (ENT) Specialist",2,0,1,1,1,1,0,1,0,0,0
Dr. Emily Garcia,San Antonio,Dermatologist,1,1,1,1,0,1,1,0,1,1,0
Dr. Emily Morris,San Diego,Dermatologist,1,1,0,0,0,0,0,0,0,1,1
Dr. Ava Hall,San Diego,Gastroenterologist,4,1,0,0,1,0,0,0,0,1,1
Dr. Benjamin Bailey,Dallas,Cardiologist,5,1,1,0,1,0,0,1,0,0,0
Dr. Daniel Gonzalez,San Jose,General Practitioner (GP),3,1,1,0,0,0,1,1,0,0,0
Dr. Charlotte Rodriguez,New York,General Practitioner (GP),2,1,0,1,0,0,0,1,0,1,0
Dr. Jacob Martinez,Phoenix,Pharmacologist,1,1,1,0,0,0,1,0,0,1,0
Dr. Olivia Coleman,Houston,General Practitioner (GP),4,0,1,1,1,1,1,1,1,1,0
Dr. Lucas Thompson,San Antonio,Gastroenterologist,3,0,1,0,1,0,0,0,0,1,1
Dr. Michael Russell,Los Angeles,Cardiologist,4,1,0,1,0,0,0,0,1,1,1
Dr. Aiden Jones,San Antonio,Vascular Surgeon,2,0,0,1,1,1,0,0,1,1,0
Dr. Evelyn Stewart,Dallas,Pulmonologist,2,0,0,0,0,0,0,0,0,1,1
Dr. Sophia Murphy,Phoenix,Cardiologist,2,0,1,1,1,1,1,0,0,0,0
Dr. Mason Roberts,San Diego,Allergist/Immunologist,3,0,1,1,1,0,1,1,1,1,1
Dr. Chloe Bailey,Chicago,Gastroenterologist,5,1,1,1,1,1,0,1,1,1,1
Dr. Mason Miller,Houston,Cardiologist,4,1,1,0,1,1,0,1,1,0,0
Dr. Michael Edwards,Phoenix,Pulmonologist,3,0,0,1,0,0,0,0,0,0,1
Dr. Mason Miller,Dallas,"Ear, Nose, and Throat (ENT) Specialist",2,1,0,0,1,0,1,1,1,0,1
Dr. Alexander Nelson,Houston,Pulmonologist,2,0,0,1,0,0,1,1,1,0,1
Dr. Mia Hill,San Diego,Neurologist,5,1,0,1,1,1,0,1,0,1,1
Dr. Madison Lopez,Dallas,Vascular Surgeon,1,1,1,1,0,1,0,0,1,1,1
Dr. Emily Moore,San Jose,Pulmonologist,1,0,1,0,1,1,1,0,1,0,0
Dr. Mia Rodriguez,San Jose,Allergist/Immunologist,1,1,0,1,1,0,1,0,0,0,0
Dr. Jacob Roberts,San Jose,Urologist,5,0,1,0,1,1,0,0,0,1,0
Dr. Logan King,Chicago,Vascular Surgeon,2,1,0,1,1,0,1,0,0,0,1
Dr. Alexander Coleman,Philadelphia,"Ear, Nose, and Throat (ENT) Specialist",3,0,1,1,1,1,1,1,1,0,1
Dr. Madison Brown,Phoenix,Rheumatologist,4,1,0,0,1,1,0,1,1,0,0
Dr. Evelyn Wright,San Diego,Infectious Disease Specialist,4,0,0,1,0,0,1,0,1,1,0
Dr. Michael Morris,San Jose,Orthopedic Surgeon,3,1,0,0,0,0,1,1,0,1,0
Dr. Mason Perez,Phoenix,Proctologist,4,1,0,0,0,0,0,0,0,1,0
Dr. Elizabeth Anderson,Philadelphia,Infectious Disease Specialist,4,0,0,1,0,1,0,1,0,0,1
Dr. Jacob White,Los Angeles,Infectious Disease Specialist,2,0,0,0,0,0,1,0,1,1,0
Dr. Matthew Taylor,Phoenix,Vascular Surgeon,2,0,1,1,1,0,1,0,1,1,1
Dr. Emily White,Dallas,Dermatologist,1,1,1,1,0,0,1,0,0,0,0
Dr. Mia Roberts,Dallas,Neurologist,2,0,0,1,0,0,0,1,0,1,0
Dr. Lucas Brown,New York,Neurologist,4,0,1,1,0,1,0,0,1,0,0
Dr. Benjamin Lewis,Houston,Proctologist,5,0,0,0,0,0,0,1,1,1,1
Dr. Charlotte Roberts,San Diego,Urologist,5,1,1,0,1,1,1,0,1,1,1
Dr. Daniel Taylor,New York,Rheumatologist,2,0,1,1,0,1,0,0,1,0,0
Dr. Sophia Lee,Houston,Pharmacologist,3,0,1,1,1,0,0,1,0,1,0
Dr. Ethan Perez,Chicago,Cardiologist,1,1,0,0,0,1,1,1,1,0,0
Dr. Alexander Miller,San Antonio,Allergist/Immunologist,1,0,0,0,0,1,0,0,1,1,0
Dr. Harper Miller,Dallas,Urologist,5,0,1,0,0,0,0,0,1,1,1
Dr. Daniel Green,Los Angeles,"Ear, Nose, and Throat (ENT) Specialist",3,0,0,1,0,0,0,1,0,1,0
Dr. Ethan Edwards,New York,Dermatologist,3,1,0,1,0,1,1,0,1,1,0
Dr. Emily Cook,Philadelphia,Neurologist,4,1,1,0,1,1,0,1,0,0,0
Dr. Ethan Hall,San Jose,Dermatologist,4,0,1,1,0,1,1,1,0,0,0
Dr. Olivia Adams,Los Angeles,Vascular Surgeon,3,0,1,0,1,0,0,0,1,0,1
Dr. Benjamin Hernandez,Phoenix,"Ear, Nose, and Throat (ENT) Specialist",3,1,1,1,1,1,0,0,0,1,0
Dr. Olivia Brown,San Antonio,Orthopedic Surgeon,5,1,1,0,1,1,1,0,0,0,1
Dr. Logan Perez,Dallas,Cardiologist,2,1,1,0,0,0,1,0,0,1,0
Dr. Mason Wright,Philadelphia,Rheumatologist,3,1,1,0,1,0,1,1,0,1,0
Dr. Ava King,San Antonio,General Practitioner (GP),2,0,1,0,0,1,1,0,0,1,1
Dr. Mia Moore,Philadelphia,Urologist,3,1,0,1,1,0,0,0,0,1,0
Dr. Daniel Lopez,Chicago,Rheumatologist,1,0,1,0,1,0,0,1,1,0,0
Dr. Michael Baker,Houston,Pulmonologist,2,1,1,1,1,1,1,1,1,0,0
Dr. Ethan Clark,Dallas,Neurologist,1,1,0,0,0,0,1,1,1,0,0
Dr. Matthew Wilson,Chicago,Pharmacologist,1,0,0,1,0,0,1,0,1,0,0
Dr. Elizabeth Wilson,Houston,Rheumatologist,3,1,0,1,1,1,0,1,0,0,1
Dr. Harper Williams,Philadelphia,Allergist/Immunologist,4,1,0,1,1,1,0,0,0,1,1
Dr. Lucas Harris,San Diego,Neurologist,5,1,0,0,0,1,1,0,1,0,1
Dr. Aiden Green,Chicago,General Practitioner (GP),4,1,0,1,1,1,0,0,0,1,0
Dr. Noah Thompson,Philadelphia,Allergist/Immunologist,3,1,0,1,1,1,1,0,0,1,1
Dr. Mia Davis,Phoenix,Pharmacologist,2,0,0,1,1,1,0,0,1,0,0
Dr. Charlotte Lopez,Philadelphia,Dermatologist,2,1,1,1,1,1,0,0,1,0,1
Dr. Amelia Williams,Philadelphia,Gastroenterologist,2,1,1,0,0,1,0,1,0,0,0
Dr. Jacob Anderson,Houston,Orthopedic Surgeon,4,1,0,1,1,0,1,1,0,1,0
Dr. Emily Rodriguez,Houston,Infectious Disease Specialist,3,1,0,0,0,1,0,1,1,1,1
Dr. Noah Evans,Chicago,Proctologist,2,1,1,1,1,0,0,1,1,1,1
Dr. Chloe Martinez,San Jose,Vascular Surgeon,3,1,1,0,1,0,1,0,1,0,0
Dr. Mason Adams,Chicago,Neurologist,1,0,0,1,1,1,1,1,1,1,0
Dr. Sophia Phillips,San Diego,Rheumatologist,2,1,1,0,0,0,1,0,1,1,1
Dr. Charlotte Anderson,Los Angeles,Allergist/Immunologist,4,1,0,0,0,1,1,1,0,0,0
Dr. Madison Moore,Phoenix,Cardiologist,4,0,1,1,0,1,1,0,1,0,1
Dr. Harper Bailey,Houston,Proctologist,1,1,0,0,1,1,1,1,1,1,0
Dr. Ethan Williams,San Antonio,Neurologist,3,1,0,0,0,0,1,0,0,0,0
Dr. Daniel Harris,Dallas,Rheumatologist,2,1,0,0,0,0,1,1,0,0,1
Dr. Elizabeth Evans,Chicago,Urologist,5,1,1,0,0,1,1,1,1,0,0
Dr. Michael Davis,San Diego,Pharmacologist,3,0,0,0,1,1,0,1,0,1,0
Dr. Ava Edwards,San Jose,"Ear, Nose, and Throat (ENT) Specialist",3,1,1,1,0,0,1,1,1,0,0
Dr. Harper Garcia,Chicago,Dermatologist,5,1,0,0,0,1,1,0,0,1,1
Dr. Daniel Martinez,San Jose,Orthopedic Surgeon,3,1,0,1,1,1,0,1,0,1,1
Dr. Michael White,San Diego,Rheumatologist,5,0,1,1,1,0,1,0,1,1,1
Dr. Jacob Hill,Los Angeles,Cardiologist,4,0,0,1,0,1,0,0,1,0,1
Dr. Harper Carter,San Diego,Infectious Disease Specialist,2,1,1,1,1,0,0,1,0,0,1
Dr. Ava Moore,San Antonio,Allergist/Immunologist,4,1,0,1,1,0,0,0,1,1,0
Dr. Ava White,Houston,Pulmonologist,2,1,1,1,1,0,0,0,0,1,1
Dr. Sophia Lopez,San Antonio,Proctologist,2,0,1,1,1,0,1,1,0,0,1
Dr. Madison Hill,Dallas,Allergist/Immunologist,3,0,0,0,1,0,1,0,0,0,0
Dr. William Wright,Los Angeles,Pulmonologist,5,1,0,0,0,1,1,0,1,0,0
Dr. Michael Brown,Los Angeles,Orthopedic Surgeon,2,1,1,0,1,0,0,0,1,1,1
Dr. Noah Rodriguez,San Jose,Rheumatologist,4,0,1,0,1,0,1,1,0,1,1
Dr. Isabella Martinez,Dallas,Proctologist,1,1,0,0,0,0,0,0,0,1,1
Dr. Matthew Lee,Chicago,Endocrinologist,4,1,0,0,0,0,1,0,1,1,0
Dr. Isabella Hernandez,San Diego,Pharmacologist,1,1,1,1,0,0,1,0,1,1,1
Dr. Daniel Morris,Chicago,Gastroenterologist,1,1,0,0,0,0,0,1,1,0,0
Dr. Olivia Russell,Chicago,Cardiologist,3,0,1,1,1,0,0,0,0,1,0
Dr. Sophia Cook,San Antonio,Allergist/Immunologist,3,1,0,0,0,0,0,0,0,1,0
Dr. Ava Thompson,Phoenix,Orthopedic Surgeon,5,1,1,1,0,0,0,1,0,0,0
Dr. Emily Cook,Dallas,"Ear, Nose, and Throat (ENT) Specialist",4,0,0,1,1,1,0,0,0,0,0
Dr. Emily Martinez,San Antonio,Pulmonologist,4,1,0,1,0,0,0,1,0,1,1
Dr. Ava Mitchell,San Diego,Pulmonologist,2,0,0,1,0,1,1,1,1,1,1
Dr. Ethan Coleman,Dallas,Pulmonologist,5,1,1,1,1,0,1,0,1,0,1
Dr. Logan Russell,Phoenix,Urologist,2,1,0,1,0,1,0,0,0,1,0
Dr. Benjamin Harris,Phoenix,Proctologist,4,1,1,0,0,0,0,1,1,0,1
Dr. Alexander Scott,Los Angeles,Proctologist,2,0,1,1,0,0,1,0,1,1,0
Dr. Elijah Coleman,San Diego,Dermatologist,4,1,1,0,1,1,1,0,0,0,0
Dr. Ethan Murphy,San Jose,General Practitioner (GP),4,0,1,0,0,0,0,0,1,1,0
Dr. Ethan Bailey,Phoenix,Pharmacologist,1,0,0,0,1,0,1,0,1,0,1
Dr. Elizabeth Edwards,New York,General Practitioner (GP),5,1,1,0,1,1,0,1,1,1,0
Dr. Chloe Williams,Los Angeles,Rheumatologist,1,1,0,1,1,0,1,0,1,1,0
Dr. Jacob Lewis,Phoenix,"Ear, Nose, and Throat (ENT) Specialist",1,0,0,0,1,1,0,1,1,0,1
Dr. Noah Gonzalez,Dallas,Urologist,4,0,1,0,0,0,0,0,0,1,0
Dr. Emily Martinez,New York,Pulmonologist,1,0,1,0,0,1,0,0,0,1,1
Dr. Mason Lewis,San Antonio,Dermatologist,3,0,0,0,0,1,0,0,1,1,1
Dr. Ethan Morris,Phoenix,Allergist/Immunologist,4,1,1,1,1,1,0,0,1,0,1
Dr. Harper Stewart,San Antonio,Gastroenterologist,1,0,0,0,1,1,1,0,1,1,1
Dr. Isabella Edwards,Philadelphia,Infectious Disease Specialist,5,1,1,1,0,1,1,0,1,1,1
Dr. Daniel Lopez,San Jose,Dermatologist,3,0,0,0,0,0,1,0,1,0,1
Dr. William Davis,New York,General Practitioner (GP),2,0,0,1,1,0,1,1,1,0,0
Dr. Benjamin Rivera,Dallas,Pharmacologist,1,1,0,1,1,1,0,1,1,0,0
Dr. Matthew Evans,New York,Endocrinologist,5,1,1,0,1,1,1,0,0,1,0
Dr. Alexander Mitchell,Philadelphia,Cardiologist,2,0,1,0,0,1,0,0,1,0,1
Dr. Mason Clark,San Diego,General Practitioner (GP),2,0,0,1,1,1,0,0,1,0,0
Dr. Ava Davis,Dallas,Cardiologist,3,1,0,1,0,0,1,0,0,1,1
Dr. Noah Nelson,New York,Cardiologist,4,1,1,0,0,0,0,1,0,1,1
Dr. Elizabeth Thompson,Philadelphia,Orthopedic Surgeon,1,1,0,1,1,1,1,0,0,0,1
Dr. Ava Murphy,San Diego,Vascular Surgeon,4,0,0,0,0,1,1,1,0,0,1
Dr. Mason Murphy,Houston,Infectious Disease Specialist,1,0,1,1,0,0,1,1,1,1,1
Dr. Harper Miller,Chicago,Infectious Disease Specialist,4,1,0,1,0,0,1,0,1,0,1
Dr. Olivia Martinez,Phoenix,Allergist/Immunologist,1,1,1,0,0,1,1,1,0,0,1
Dr. Olivia Evans,San Antonio,Pulmonologist,1,0,0,0,1,0,0,0,1,0,0
Dr. Logan Perez,Phoenix,"Ear, Nose, and Throat (ENT) Specialist",1,0,0,0,1,1,1,0,0,0,1
Dr. William King,Philadelphia,Proctologist,4,1,0,1,0,1,1,1,1,1,0
Dr. Benjamin Miller,Houston,Allergist/Immunologist,5,1,0,1,1,1,0,0,0,1,0
Dr. Harper Evans,Dallas,Infectious Disease Specialist,2,1,1,1,1,1,1,0,0,1,1
Dr. Evelyn Miller,San Diego,Pulmonologist,2,1,0,0,0,0,0,0,1,1,0
Dr. Sophia Harris,Dallas,Pharmacologist,4,0,1,0,0,0,1,0,1,1,0
Dr. Ethan Scott,Philadelphia,Gastroenterologist,1,0,0,1,0,0,0,1,1,1,1
Dr. Emily Thompson,San Diego,Orthopedic Surgeon,2,1,1,0,1,1,1,1,0,1,0
Dr. William Rodriguez,Phoenix,Urologist,1,0,1,1,1,1,0,1,0,1,0
Dr. Olivia Scott,Dallas,Endocrinologist,3,0,1,1,1,0,0,0,1,0,0
Dr. Olivia Phillips,San Diego,Allergist/Immunologist,2,0,1,1,0,1,0,1,0,0,1
Dr. Olivia Gonzales,Philadelphia,Allergist/Immunologist,1,0,1,1,0,0,0,0,1,0,0
Dr. Noah Morris,Phoenix,Pulmonologist,3,1,1,0,1,1,1,1,0,1,0
Dr. Sophia Gonzales,Phoenix,Rheumatologist,3,1,1,1,1,0,0,1,0,0,1
Dr. Harper Hall,San Jose,Rheumatologist,4,0,1,0,0,1,0,1,0,0,1
Dr. Olivia Taylor,New York,Pharmacologist,4,0,1,1,1,0,1,1,1,0,0
Dr. Charlotte Adams,Phoenix,Proctologist,2,1,1,0,0,0,0,1,1,0,0
Dr. William Evans,Chicago,"Ear, Nose, and Throat (ENT) Specialist",4,1,1,0,0,1,1,0,1,0,1
Dr. Ethan Johnson,Dallas,Pulmonologist,4,1,0,0,0,1,0,0,1,1,0
Dr. Olivia Wright,Los Angeles,Gastroenterologist,4,0,1,0,0,0,1,0,0,0,1
Dr. James Lewis,Los Angeles,Urologist,4,1,1,1,0,1,0,0,0,0,1
Dr. Olivia Johnson,Chicago,Pharmacologist,2,1,1,1,1,0,1,1,0,0,1
Dr. Harper Coleman,San Antonio,General Practitioner (GP),4,0,1,0,0,1,1,1,1,1,0
Dr. Jacob Adams,Phoenix,Cardiologist,1,1,0,0,1,1,1,1,1,0,0
Dr. Ava Hill,Philadelphia,Proctologist,5,0,0,1,0,0,0,1,0,0,0
Dr. Elizabeth Phillips,Chicago,Pharmacologist,2,1,1,1,0,1,1,1,0,1,1
Dr. Chloe Cook,Dallas,Rheumatologist,5,1,1,0,0,0,1,1,0,1,1
Dr. Olivia Nelson,San Jose,Neurologist,3,0,0,1,0,1,0,1,1,1,0
Dr. Amelia Jones,Dallas,Cardiologist,4,1,1,0,1,1,0,0,0,1,0
Dr. Sophia Carter,Philadelphia,Rheumatologist,4,1,0,0,0,1,0,0,0,1,1
Dr. Michael Adams,Philadelphia,Gastroenterologist,4,0,0,0,1,0,1,0,0,0,0
Dr. Michael Perez,Phoenix,General Practitioner (GP),2,0,1,0,1,1,0,1,1,0,0
Dr. William Williams,Chicago,Dermatologist,3,0,1,1,0,1,0,0,0,0,1
Dr. Elizabeth Clark,San Jose,"Ear, Nose, and Throat (ENT) Specialist",2,1,1,0,0,1,1,0,1,1,1
Dr. Emily Russell,Los Angeles,Pharmacologist,2,1,0,0,0,0,1,1,1,1,1
Dr. Abigail Jones,Houston,Endocrinologist,5,0,1,1,0,0,1,0,0,0,1
Dr. Ava Wright,Dallas,Proctologist,1,0,1,0,0,1,1,1,1,0,0
Dr. Elijah Coleman,Phoenix,Pulmonologist,4,0,1,0,0,1,1,0,0,1,0
Dr. Evelyn Wilson,Los Angeles,Infectious Disease Specialist,3,1,1,0,0,0,1,1,0,1,0
Dr. Ava Evans,San Antonio,Endocrinologist,4,1,0,1,0,0,0,1,1,1,1
Dr. Ava Wright,Chicago,Pulmonologist,3,1,0,1,1,1,0,1,0,0,0
Dr. Michael Davis,New York,"Ear, Nose, and Throat (ENT) Specialist",1,0,1,1,0,1,0,1,0,0,1
Dr. Charlotte Lee,Houston,Endocrinologist,5,1,1,0,0,1,0,0,0,0,0
Dr. Mia Nelson,San Antonio,Orthopedic Surgeon,2,0,1,0,1,0,0,1,0,1,0
Dr. Charlotte Miller,San Antonio,Pulmonologist,4,0,1,1,1,0,0,1,1,0,1
Dr. Michael Rivera,Houston,Pulmonologist,3,0,0,0,0,1,1,0,0,1,1
Dr. Benjamin Anderson,San Diego,"Ear, Nose, and Throat (ENT) Specialist",1,1,1,1,1,0,1,1,0,0,0
Dr. Abigail Roberts,Philadelphia,General Practitioner (GP),5,1,1,1,0,1,1,0,1,1,0
Dr. Aiden Hill,Dallas,Vascular Surgeon,5,0,1,1,0,1,1,0,1,0,0
Dr. Aiden Brown,Houston,Endocrinologist,1,0,0,1,0,1,1,0,0,0,1
Dr. Daniel Edwards,Dallas,"Ear, Nose, and Throat (ENT) Specialist",4,0,0,0,1,1,1,1,0,0,0
Dr. Emily Mitchell,Philadelphia,Dermatologist,5,0,1,0,1,1,1,0,0,1,0
Dr. Ava Jones,Chicago,Gastroenterologist,4,0,1,0,0,1,0,1,0,0,1
Dr. Ethan Hall,San Antonio,Urologist,4,0,0,1,0,1,0,0,1,1,0
Dr. Ava Roberts,Chicago,"Ear, Nose, and Throat (ENT) Specialist",1,0,1,1,1,1,1,0,1,1,1
Dr. Aiden Wilson,Los Angeles,Neurologist,4,1,0,0,1,0,0,0,1,1,1
Dr. Madison Lewis,San Jose,Urologist,1,0,1,1,1,0,1,1,0,0,1
Dr. Harper Morris,Houston,Allergist/Immunologist,3,0,0,0,0,1,1,0,0,1,1
Dr. James Brown,New York,"Ear, Nose, and Throat (ENT) Specialist",1,0,1,0,1,1,0,0,1,1,0
Dr. Madison Nelson,San Jose,Proctologist,4,1,0,1,1,0,1,1,1,0,1
Dr. Ethan Green,San Antonio,Pharmacologist,3,1,0,0,0,1,1,0,1,0,0
Dr. Michael Russell,San Antonio,Cardiologist,4,1,1,1,0,0,1,0,0,1,1
Dr. Chloe Carter,Houston,Infectious Disease Specialist,2,1,1,0,1,0,0,1,1,0,0
Dr. Olivia Evans,San Jose,Infectious Disease Specialist,2,1,1,1,1,0,0,0,0,1,1
Dr. Madison Rodriguez,Chicago,Cardiologist,5,1,1,1,1,0,0,0,0,0,0
Dr. Ethan Coleman,San Antonio,Pulmonologist,4,1,1,1,0,0,1,0,0,0,1
Dr. Ethan Smith,Philadelphia,Infectious Disease Specialist,5,0,1,1,1,0,0,1,0,1,0
Dr. Benjamin Lewis,Chicago,Pulmonologist,2,1,1,0,0,0,0,0,1,1,0
